NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Ahmedabad_JantaNagar_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_JantaNagar_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Kanera_INTL (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_Kanera_INTL (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Kanera_R (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_Kanera_R (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Kankaria_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Kankaria_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Madhupura_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Madhupura_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Makarba_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Makarba_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
